contract_id,family,asset,semantic_role,implementation,source_file,state_or_variant_proof,contract_evidence,browser_evidence,coverage_status,severity
buttons--primary--focus--md,buttons,primary--focus--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=focus; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--focus--lg,buttons,primary--focus--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=focus; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--disabled--sm,buttons,primary--disabled--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=disabled; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--disabled--md,buttons,primary--disabled--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=disabled; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--disabled--lg,buttons,primary--disabled--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=disabled; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--loading--sm,buttons,primary--loading--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=loading; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--loading--md,buttons,primary--loading--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=loading; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--primary--loading--lg,buttons,primary--loading--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=primary; state=loading; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--default--sm,buttons,secondary--default--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=default; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--default--md,buttons,secondary--default--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=default; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--default--lg,buttons,secondary--default--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=default; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--hover--sm,buttons,secondary--hover--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=hover; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--hover--md,buttons,secondary--hover--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=hover; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--hover--lg,buttons,secondary--hover--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=hover; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--pressed--sm,buttons,secondary--pressed--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=pressed; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--pressed--md,buttons,secondary--pressed--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=pressed; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--pressed--lg,buttons,secondary--pressed--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=pressed; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--focus--sm,buttons,secondary--focus--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=focus; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--focus--md,buttons,secondary--focus--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=focus; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--focus--lg,buttons,secondary--focus--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=focus; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--disabled--sm,buttons,secondary--disabled--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=disabled; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--disabled--md,buttons,secondary--disabled--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=disabled; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--disabled--lg,buttons,secondary--disabled--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=disabled; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--loading--sm,buttons,secondary--loading--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=loading; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--loading--md,buttons,secondary--loading--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=loading; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--secondary--loading--lg,buttons,secondary--loading--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=secondary; state=loading; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--default--sm,buttons,tertiary--default--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=default; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--default--md,buttons,tertiary--default--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=default; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--default--lg,buttons,tertiary--default--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=default; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--hover--sm,buttons,tertiary--hover--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=hover; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--hover--md,buttons,tertiary--hover--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=hover; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--hover--lg,buttons,tertiary--hover--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=hover; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--pressed--sm,buttons,tertiary--pressed--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=pressed; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--pressed--md,buttons,tertiary--pressed--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=pressed; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--pressed--lg,buttons,tertiary--pressed--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=pressed; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--focus--sm,buttons,tertiary--focus--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=focus; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--focus--md,buttons,tertiary--focus--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=focus; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--focus--lg,buttons,tertiary--focus--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=focus; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--disabled--sm,buttons,tertiary--disabled--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=disabled; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--disabled--md,buttons,tertiary--disabled--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=disabled; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--disabled--lg,buttons,tertiary--disabled--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=disabled; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--loading--sm,buttons,tertiary--loading--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=loading; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--loading--md,buttons,tertiary--loading--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=loading; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--tertiary--loading--lg,buttons,tertiary--loading--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=tertiary; state=loading; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--default--sm,buttons,ghost--default--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=default; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--default--md,buttons,ghost--default--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=default; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--default--lg,buttons,ghost--default--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=default; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--hover--sm,buttons,ghost--hover--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=hover; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--hover--md,buttons,ghost--hover--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=hover; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--hover--lg,buttons,ghost--hover--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=hover; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--pressed--sm,buttons,ghost--pressed--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=pressed; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--pressed--md,buttons,ghost--pressed--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=pressed; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--pressed--lg,buttons,ghost--pressed--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=pressed; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--focus--sm,buttons,ghost--focus--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=focus; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--focus--md,buttons,ghost--focus--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=focus; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--focus--lg,buttons,ghost--focus--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=focus; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--disabled--sm,buttons,ghost--disabled--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=disabled; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--disabled--md,buttons,ghost--disabled--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=disabled; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--disabled--lg,buttons,ghost--disabled--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=disabled; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--loading--sm,buttons,ghost--loading--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=loading; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--loading--md,buttons,ghost--loading--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=loading; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--ghost--loading--lg,buttons,ghost--loading--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=ghost; state=loading; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--default--sm,buttons,violet--default--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=default; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--default--md,buttons,violet--default--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=default; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--default--lg,buttons,violet--default--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=default; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--hover--sm,buttons,violet--hover--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=hover; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--hover--md,buttons,violet--hover--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=hover; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--hover--lg,buttons,violet--hover--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=hover; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--pressed--sm,buttons,violet--pressed--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=pressed; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--pressed--md,buttons,violet--pressed--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=pressed; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--pressed--lg,buttons,violet--pressed--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=pressed; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--focus--sm,buttons,violet--focus--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=focus; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--focus--md,buttons,violet--focus--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=focus; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--focus--lg,buttons,violet--focus--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=focus; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--disabled--sm,buttons,violet--disabled--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=disabled; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--disabled--md,buttons,violet--disabled--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=disabled; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--disabled--lg,buttons,violet--disabled--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=disabled; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--loading--sm,buttons,violet--loading--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=loading; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--loading--md,buttons,violet--loading--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=loading; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--violet--loading--lg,buttons,violet--loading--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=violet; state=loading; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--danger--default--sm,buttons,danger--default--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=danger; state=default; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--danger--default--md,buttons,danger--default--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=danger; state=default; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--danger--default--lg,buttons,danger--default--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=danger; state=default; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--danger--hover--sm,buttons,danger--hover--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=danger; state=hover; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--danger--hover--md,buttons,danger--hover--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=danger; state=hover; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--danger--hover--lg,buttons,danger--hover--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=danger; state=hover; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--danger--pressed--sm,buttons,danger--pressed--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=danger; state=pressed; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--danger--pressed--md,buttons,danger--pressed--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=danger; state=pressed; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--danger--pressed--lg,buttons,danger--pressed--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=danger; state=pressed; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--danger--focus--sm,buttons,danger--focus--sm,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=danger; state=focus; size=sm,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--danger--focus--md,buttons,danger--focus--md,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=danger; state=focus; size=md,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
buttons--danger--focus--lg,buttons,danger--focus--lg,action,MefButton,apps/practitioner-web/src/components/mef-primitives.tsx,tone=danger; state=focus; size=lg,MefButton tone/state/size; focus-visible; disabled; aria-busy loading,52 axe scans; 38 primary + 14 state route captures,MAPPED,NONE
